('201419_14100400_9.6_155.1_40_996', tensor(62.8343))
('201513_15080700_21.9_125.8_90_935', tensor(99.0958))
('201513_15080812_24.6_119.2_65_975', tensor(61.0170))
('201513_15080818_25.2_118.3_55_980', tensor(56.8796))
('201513_15080900_25.8_117.6_40_992', tensor(43.5177))
('201513_15080906_26.6_116.9_35_994', tensor(48.8916))
('201513_15081106_33.0_122.4_35_998', tensor(32.0539))
('201514_15080712_23.9_146.3_35_1000', tensor(51.1848))
('201514_15080718_25.1_145.5_35_998', tensor(48.5118))
('201514_15080800_26.1_144.2_35_994', tensor(63.9478))
('201514_15080806_26.4_143.2_40_990', tensor(47.8120))
('201514_15080812_26.5_142.2_40_990', tensor(43.4780))
('201514_15080818_26.8_141.6_40_990', tensor(37.1132))
('201514_15080900_27.2_140.9_40_990', tensor(32.8945))
('201514_15080906_27.8_140.8_40_990', tensor(37.1326))
('201514_15080912_28.4_140.7_40_990', tensor(40.9469))
('201514_15080918_29.1_140.5_40_990', tensor(38.9938))
('201514_15081000_29.9_140.4_40_990', tensor(31.1064))
('201514_15081006_30.4_140.6_40_990', tensor(43.3581))
('201514_15081012_30.8_141.2_40_990', tensor(41.9926))
('201514_15081018_31.1_141.8_45_985', tensor(38.0369))
('201514_15081100_31.5_142.7_45_985', tensor(47.0040))
('201514_15081106_32.0_143.5_45_985', tensor(59.3981))
('201514_15081112_32.5_144.8_45_985', tensor(48.1713))
('201514_15081118_32.9_146.1_40_990', tensor(49.7584))
('201514_15081200_33.4_147.3_40_990', tensor(44.1032))
('201514_15081206_33.6_148.5_40_990', tensor(47.4186))
('201514_15081212_33.8_150.2_40_990', tensor(58.6867))
('201514_15081218_34.0_151.7_40_990', tensor(48.6516))
('201514_15081312_36.5_157.0_40_990', tensor(32.3541))
('201514_15081318_37.1_159.1_40_990', tensor(27.0633))
('201515_15081500_13.5_147.0_45_994', tensor(44.7254))
('201515_15081506_13.8_146.4_45_992', tensor(56.4055))
('201515_15081512_14.2_146.0_50_990', tensor(47.8488))
('201515_15081518_14.4_145.4_55_985', tensor(49.2104))
('201515_15081600_14.7_144.8_60_980', tensor(54.3732))
('201515_15081606_15.0_144.2_60_980', tensor(57.3968))
('201515_15081612_15.5_143.6_65_970', tensor(60.5690))
('201515_15081618_16.0_142.7_75_960', tensor(61.9435))
('201515_15081700_16.5_141.7_85_950', tensor(79.6038))
('201515_15081706_17.0_140.5_95_935', tensor(79.1684))
('201515_15081712_17.3_139.2_95_935', tensor(75.3758))
('201515_15081718_17.7_137.8_95_935', tensor(75.1013))
('201515_15081800_18.2_136.0_95_935', tensor(79.9671))
('201515_15081806_18.6_134.6_95_935', tensor(88.4980))
('201515_15081812_18.7_132.9_95_935', tensor(79.2499))
('201515_15081818_18.8_131.2_85_945', tensor(78.7859))
('201515_15081900_18.9_129.9_85_945', tensor(73.7120))
('201515_15081906_19.0_128.4_85_945', tensor(86.6146))
('201515_15081912_18.9_127.3_90_940', tensor(88.9628))
('201515_15081918_18.9_126.1_90_940', tensor(90.3970))
('201515_15082000_18.8_125.3_90_940', tensor(101.6835))
('201515_15082006_18.9_124.7_85_945', tensor(89.9080))
('201515_15082012_19.0_124.0_85_945', tensor(78.9133))
('201515_15082018_19.1_123.2_85_945', tensor(85.7365))
('201515_15082100_19.2_122.9_85_945', tensor(84.3439))
('201515_15082106_19.3_122.4_85_945', tensor(66.2376))
('201515_15082112_19.3_122.3_80_955', tensor(74.9610))
('201515_15082118_19.6_122.5_80_955', tensor(64.4736))
('201515_15082200_20.1_122.6_80_955', tensor(59.0930))
('201515_15082206_20.7_122.7_80_955', tensor(73.9176))
('201515_15082212_21.3_123.1_80_955', tensor(67.3391))
('201516_15081500_14.7_162.2_35_1002', tensor(53.2749))
('201516_15081506_14.8_162.0_35_1000', tensor(44.7490))
('201516_15081512_14.9_161.8_40_998', tensor(55.2469))
('201516_15081518_14.8_161.3_45_994', tensor(82.5283))
('201516_15081600_14.4_160.9_45_990', tensor(71.8920))
('201516_15081606_14.5_160.4_50_985', tensor(74.5792))
('201516_15081612_14.4_160.0_55_980', tensor(73.1297))
('201516_15081618_14.3_159.6_60_975', tensor(81.2482))
('201516_15081700_14.5_159.1_65_970', tensor(74.0088))
('201516_15081706_14.7_158.5_75_960', tensor(106.4836))
('201516_15081712_15.1_158.0_80_950', tensor(117.4932))
('201516_15081718_15.7_157.0_90_940', tensor(104.4905))
('201516_15081800_15.9_156.2_95_935', tensor(91.2753))
('201516_15081806_16.3_155.5_95_935', tensor(111.1712))
('201516_15081812_17.0_154.9_95_930', tensor(114.0010))
('201516_15081818_17.9_153.8_95_930', tensor(102.7165))
('201516_15081900_18.7_152.9_100_925', tensor(102.3207))
('201516_15081906_19.1_151.9_100_925', tensor(90.7524))
('201516_15081912_19.7_151.3_100_925', tensor(103.5726))
('201516_15081918_20.4_150.4_100_925', tensor(105.2546))
('201516_15082000_21.2_149.5_100_925', tensor(94.4732))
('201516_15082006_22.0_148.6_95_930', tensor(95.8613))
('201516_15082012_22.6_147.8_95_930', tensor(100.4281))
('201516_15082018_23.3_147.1_90_935', tensor(97.4597))
('201516_15082100_24.1_146.5_90_940', tensor(96.9840))
('201516_15082106_25.0_146.0_85_945', tensor(85.4935))
('201516_15082112_25.5_145.5_85_945', tensor(72.7839))
('201516_15082118_26.4_145.1_80_950', tensor(77.5679))
('201516_15082200_27.0_144.9_80_950', tensor(71.8316))
('201516_15082206_27.6_145.0_80_950', tensor(74.6556))
('201516_15082212_28.2_145.1_80_950', tensor(87.1688))
('201516_15082218_29.0_145.3_80_950', tensor(87.8143))
('201516_15082300_29.5_145.5_80_950', tensor(79.5645))
('201516_15082306_30.0_146.1_80_950', tensor(74.8073))
('201516_15082312_30.6_146.7_75_955', tensor(71.5092))
('201516_15082318_31.3_147.4_75_955', tensor(61.1550))
('201516_15082400_32.0_148.1_75_955', tensor(55.9465))
('201516_15082406_32.6_149.2_70_960', tensor(44.4445))
('201516_15082412_32.9_150.8_65_965', tensor(51.9221))
('201516_15082418_33.9_152.9_60_965', tensor(41.1662))
('201516_15082500_35.6_155.7_60_965', tensor(47.6406))
('201517_15090200_24.0_179.8_80_950', tensor(71.4068))
('201517_15090206_24.4_179.4_80_950', tensor(71.4981))
('201517_15090212_24.6_179.1_70_965', tensor(70.5839))
('201517_15090218_24.6_178.5_70_965', tensor(66.9449))
('201517_15090300_24.7_178.2_70_965', tensor(78.5451))
('201517_15090306_24.6_178.1_70_965', tensor(64.9362))
('201517_15090312_24.4_177.7_70_965', tensor(74.5718))
('201517_15090318_24.1_177.5_70_965', tensor(56.2437))
('201517_15090400_23.8_177.1_65_970', tensor(66.1395))
('201517_15090406_23.6_176.6_65_970', tensor(72.4715))
('201517_15090412_23.5_175.8_65_970', tensor(65.6903))
('201517_15090418_23.5_174.9_65_970', tensor(64.6893))
('201517_15090500_23.5_174.0_65_970', tensor(61.5639))
('201517_15090506_23.6_173.0_75_955', tensor(80.0120))
('201517_15090512_23.5_172.1_75_955', tensor(75.2376))
('201517_15090518_23.7_170.7_80_950', tensor(88.2849))
('201517_15090600_23.9_169.7_80_950', tensor(95.6465))
('201517_15090606_24.0_168.9_80_950', tensor(95.0239))
('201517_15090612_24.3_167.6_75_955', tensor(78.1008))
('201517_15090618_24.4_166.5_75_955', tensor(83.6934))
('201517_15090700_24.7_165.6_75_955', tensor(76.7078))
('201517_15090706_25.0_164.2_75_955', tensor(88.1084))
('201517_15090712_25.2_163.3_70_965', tensor(74.2793))
('201517_15090718_25.6_162.1_70_965', tensor(74.9743))
('201517_15090800_26.1_160.3_70_965', tensor(65.8476))
('201517_15090806_26.7_158.7_70_965', tensor(74.3098))
('201517_15090812_27.2_157.3_70_965', tensor(67.0678))
('201517_15090818_28.1_156.0_65_970', tensor(50.9108))
('201517_15090900_29.1_154.7_65_970', tensor(45.7530))
('201517_15090906_29.7_153.2_65_970', tensor(43.7674))
('201517_15090912_30.7_152.5_60_975', tensor(53.9888))
('201517_15090918_31.6_151.2_60_975', tensor(48.7180))
('201517_15091000_32.6_150.0_60_975', tensor(47.5678))
('201517_15091006_34.0_149.6_60_975', tensor(52.1018))
('201517_15091012_35.3_149.0_60_975', tensor(56.8686))
('201517_15091018_36.9_148.6_60_975', tensor(45.5300))
('201517_15091100_38.7_147.4_60_975', tensor(55.4660))
('201517_15091106_40.6_147.2_60_975', tensor(44.4027))
('201518_15090718_26.3_138.3_40_996', tensor(61.4847))
('201518_15090800_27.7_138.3_45_990', tensor(59.4508))
('201518_15090806_29.3_138.3_50_985', tensor(53.9860))
('201518_15090812_31.0_138.3_50_985', tensor(76.9966))
('201519_15091400_15.0_110.3_35_998', tensor(35.6472))
('201519_15091406_15.6_109.7_35_998', tensor(42.1782))
('201519_15091412_15.6_108.9_35_998', tensor(43.8918))
('201519_15091418_15.8_107.3_35_1000', tensor(36.5783))
('201520_15091600_19.2_148.4_45_990', tensor(40.2769))
('201520_15091606_19.8_147.3_55_985', tensor(46.4422))
('201520_15091612_19.9_146.4_60_980', tensor(55.0635))
('201520_15091618_20.3_145.7_65_970', tensor(60.3146))
('201520_15091700_21.0_144.8_70_965', tensor(58.4501))
('201520_15091706_21.6_144.2_75_960', tensor(67.7899))
('201520_15091712_22.2_143.5_85_945', tensor(70.5736))
('201520_15091718_22.9_142.9_85_945', tensor(82.9775))
('201520_15091800_23.7_142.5_85_945', tensor(77.7528))
('201520_15091806_24.6_142.3_80_950', tensor(60.5131))
('201520_15091912_30.0_145.2_65_970', tensor(64.2546))
('201520_15091918_31.0_146.1_60_975', tensor(61.1305))
('201520_15092000_31.9_147.1_50_985', tensor(50.6070))
('201520_15092006_32.9_148.1_45_990', tensor(38.2544))
('201520_15092012_33.9_149.1_40_992', tensor(45.1398))
('201520_15092018_35.1_150.6_40_992', tensor(35.0960))
('201520_15092100_36.1_151.4_45_992', tensor(37.3024))
('201520_15092106_36.5_151.9_40_992', tensor(34.0865))
('201521_15092218_16.8_136.5_35_1000', tensor(38.5259))
('201521_15092300_17.5_135.4_35_1000', tensor(43.7168))
('201521_15092306_17.5_134.5_35_998', tensor(62.7556))
('201521_15092312_17.8_133.8_35_998', tensor(49.7327))
('201521_15092318_17.9_133.5_40_996', tensor(43.3478))
('201521_15092400_18.2_133.1_45_994', tensor(56.6057))
('201521_15092406_18.6_132.6_50_990', tensor(59.4623))
('201521_15092412_18.7_132.4_50_985', tensor(64.1190))
('201521_15092418_18.9_132.3_55_980', tensor(59.3371))
('201521_15092500_19.1_132.1_60_975', tensor(46.0749))
('201521_15092506_19.4_131.7_65_970', tensor(70.0960))
('201521_15092512_19.7_131.3_70_965', tensor(101.6052))
('201521_15092518_20.3_131.0_75_960', tensor(79.8399))
('201521_15092600_20.9_130.3_75_960', tensor(80.3759))
('201521_15092606_21.6_129.7_80_955', tensor(97.7316))
('201521_15092612_21.9_128.9_90_945', tensor(89.4529))
('201521_15092618_22.2_128.1_100_935', tensor(86.0617))
('201521_15092700_22.3_127.5_110_925', tensor(81.8438))
('201521_15092818_24.3_120.0_65_975', tensor(49.3240))
('201521_15092900_24.9_118.9_55_985', tensor(40.2436))
('201521_15092906_25.6_117.8_40_994', tensor(52.4981))
('201522_15100118_15.8_121.3_40_998', tensor(59.1106))
('201522_15100200_16.4_120.1_40_998', tensor(65.3906))
('201522_15100206_16.5_118.9_45_996', tensor(66.3770))
('201522_15100212_16.9_117.8_50_990', tensor(67.5216))
('201522_15100218_17.7_116.6_55_985', tensor(73.8719))
('201522_15100300_18.5_115.5_55_985', tensor(68.7147))
('201522_15100306_18.9_114.4_55_985', tensor(72.5877))
('201522_15100312_19.5_113.4_65_975', tensor(80.4020))
('201522_15100318_19.7_112.2_75_965', tensor(65.9011))
('201522_15100400_20.5_111.5_85_950', tensor(68.5250))
('201522_15100406_21.3_110.4_85_950', tensor(84.0903))
('201522_15100412_21.9_109.6_70_970', tensor(62.4062))
('201522_15100418_22.6_108.8_50_990', tensor(53.0284))
('201523_15100212_18.8_167.1_35_996', tensor(38.2052))
('201523_15100218_19.1_166.9_35_992', tensor(42.9039))
('201523_15100300_19.3_166.4_35_990', tensor(56.5866))
('201523_15100306_19.5_166.1_35_990', tensor(45.1087))
('201523_15100312_20.0_164.2_40_990', tensor(38.7299))
('201523_15100318_20.1_162.1_40_990', tensor(48.2901))
('201523_15100400_20.2_160.3_45_985', tensor(43.3148))
('201523_15100406_20.8_158.8_45_985', tensor(48.7451))
('201523_15100412_21.4_157.4_45_980', tensor(38.6648))
('201523_15100418_21.7_156.1_45_980', tensor(43.5636))
('201523_15100500_21.8_154.9_50_975', tensor(54.9317))
('201523_15100506_22.0_153.8_50_975', tensor(62.0757))
('201523_15100512_22.4_152.9_50_975', tensor(55.4926))
('201523_15100518_22.9_151.9_50_975', tensor(52.5210))
('201523_15100600_23.4_151.2_50_975', tensor(64.5451))
('201523_15100606_24.1_150.9_55_970', tensor(60.3904))
('201523_15100612_25.2_150.9_55_970', tensor(61.2803))
('201523_15100618_26.5_150.9_55_970', tensor(59.1381))
('201523_15100700_28.5_151.3_60_965', tensor(60.7928))
('201523_15100706_31.2_151.2_60_965', tensor(47.1434))
('201523_15100712_34.5_150.3_60_965', tensor(35.0232))
('201524_15101318_15.9_137.7_35_1000', tensor(40.8326))
('201524_15101400_15.9_136.4_35_1000', tensor(33.3271))
('201524_15101406_15.7_135.1_35_1000', tensor(34.5563))
('201524_15101412_15.6_134.0_35_1000', tensor(36.7222))
('201524_15101418_15.5_133.0_35_998', tensor(30.7886))
('201524_15101500_15.4_131.7_40_996', tensor(23.2958))
('201524_15101506_15.5_130.0_50_990', tensor(52.0102))
('201524_15101512_15.5_129.0_60_980', tensor(65.9543))
('201524_15101518_15.5_128.1_70_970', tensor(76.9845))
('201524_15101600_15.7_127.2_80_960', tensor(68.3960))
('201524_15101606_15.6_126.2_85_955', tensor(71.5851))
('201524_15101612_15.7_125.7_85_955', tensor(82.2707))
('201524_15101618_15.8_125.1_90_950', tensor(81.8074))
('201524_15101700_15.8_124.5_90_940', tensor(93.2962))
('201524_15101706_15.8_123.8_95_930', tensor(95.9379))
('201524_15101712_15.9_123.1_95_930', tensor(92.9392))
('201524_15101718_16.1_122.1_100_925', tensor(98.2896))
('201524_15101800_16.0_121.6_90_940', tensor(65.3399))
('201524_15101806_16.1_121.4_80_950', tensor(47.5904))
('201524_15101812_16.3_121.3_70_960', tensor(44.0046))
('201524_15101818_17.0_120.6_60_970', tensor(35.8572))
('201524_15101900_17.2_120.2_50_980', tensor(39.2346))
('201524_15101906_17.8_120.1_45_985', tensor(44.6186))
('201524_15101912_18.4_120.2_45_990', tensor(43.6617))
('201524_15101918_18.7_120.4_40_992', tensor(41.6386))
('201524_15102000_18.9_120.7_35_994', tensor(31.6221))
('201524_15102006_19.1_121.2_35_996', tensor(28.0772))
('201524_15102012_19.2_121.7_35_998', tensor(28.7984))
('201524_15102018_19.2_122.2_35_998', tensor(33.0281))
('201524_15102100_19.3_122.5_35_998', tensor(31.4406))
('201525_15101406_14.5_155.5_35_1000', tensor(60.8707))
('201525_15101412_14.7_154.6_40_998', tensor(51.6028))
('201525_15101418_15.0_153.7_45_996', tensor(56.5497))
('201525_15101500_15.4_151.9_45_996', tensor(43.1849))
('201525_15101506_15.1_150.3_45_996', tensor(71.4383))
('201525_15101512_15.4_149.2_45_996', tensor(71.5501))
('201525_15101518_15.5_147.6_55_990', tensor(72.6462))
('201525_15101600_15.4_145.9_55_985', tensor(75.3389))
('201525_15101606_15.6_144.8_60_980', tensor(76.4177))
('201525_15101612_16.2_144.0_65_975', tensor(67.3073))
('201525_15101618_16.5_143.3_65_975', tensor(71.3552))
('201525_15101700_16.9_142.4_65_975', tensor(88.0869))
('201525_15101706_17.7_141.5_75_965', tensor(71.5130))
('201525_15101712_18.4_140.7_80_955', tensor(85.4222))
('201525_15101718_18.8_140.3_80_955', tensor(80.4072))
('201525_15101800_19.2_140.1_85_950', tensor(77.7853))
('201525_15101806_19.5_140.1_90_940', tensor(93.6066))
('201525_15101812_19.8_140.2_95_930', tensor(108.6887))
('201525_15101818_20.2_140.3_95_930', tensor(116.4260))
('201525_15101900_20.5_140.4_95_930', tensor(114.6053))
('201525_15101906_20.8_140.3_90_935', tensor(101.4020))
('201525_15101912_21.0_140.2_85_945', tensor(89.4364))
('201525_15101918_21.1_140.1_85_945', tensor(74.9052))
('201525_15102000_21.4_140.2_80_950', tensor(59.9499))
('201525_15102006_21.8_140.2_80_950', tensor(56.9616))
('201525_15102012_22.1_140.0_80_950', tensor(68.9846))
('201525_15102018_22.3_140.0_80_950', tensor(74.8874))
('201525_15102100_22.6_140.0_80_950', tensor(70.7625))
('201525_15102106_22.9_140.1_80_950', tensor(67.6828))
('201525_15102112_23.2_140.3_80_950', tensor(76.9493))
('201525_15102118_23.5_140.7_80_950', tensor(70.5892))
('201525_15102200_23.7_141.2_85_945', tensor(72.8285))
('201525_15102206_24.0_141.8_85_945', tensor(73.5736))
('201525_15102212_24.2_142.7_85_945', tensor(78.6092))
('201525_15102218_24.7_143.9_85_945', tensor(75.1457))
('201525_15102300_25.0_145.1_80_950', tensor(70.8963))
('201525_15102306_25.4_146.6_75_955', tensor(71.1397))
('201525_15102312_25.8_147.9_75_960', tensor(66.1564))
('201525_15102318_26.4_149.2_65_970', tensor(71.0754))
('201525_15102400_27.0_150.3_60_980', tensor(65.7067))
('201525_15102406_27.5_151.6_60_980', tensor(54.1620))
('201525_15102412_28.3_153.2_60_980', tensor(57.8935))
('201525_15102418_29.5_155.2_60_980', tensor(52.2598))
('201525_15102500_31.3_158.4_55_985', tensor(50.0515))
('201525_15102506_33.7_163.2_55_985', tensor(52.2701))
('201526_15111718_5.2_158.3_35_1000', tensor(61.4485))
('201526_15111800_5.5_157.2_35_998', tensor(71.4721))
('201526_15111806_5.8_155.7_35_996', tensor(65.8911))
('201526_15111812_6.2_154.7_40_994', tensor(49.9497))
('201526_15111818_7.0_153.8_40_994', tensor(42.4223))
('201526_15111900_8.1_152.7_40_994', tensor(39.9513))
('201526_15111906_8.7_151.4_45_992', tensor(33.1815))
('201526_15111912_9.2_150.4_50_985', tensor(34.8869))
('201526_15111918_9.8_149.4_60_975', tensor(67.3396))
('201526_15112000_9.9_148.7_65_970', tensor(49.4102))
('201526_15112006_10.4_147.5_75_960', tensor(52.7289))
('201526_15112012_10.8_146.0_80_950', tensor(65.0552))
('201526_15112018_11.0_144.4_90_940', tensor(64.1282))
('201526_15112100_11.2_142.9_95_935', tensor(72.2029))
('201526_15112106_11.9_141.4_95_935', tensor(75.4411))
('201526_15112112_12.4_139.6_90_940', tensor(78.4963))
('201526_15112118_12.8_137.9_90_940', tensor(63.7025))
('201526_15112200_13.5_136.6_85_945', tensor(71.2310))
('201526_15112206_14.2_135.2_85_945', tensor(67.9559))
('201526_15112212_14.6_133.9_85_945', tensor(80.3137))
('201526_15112218_15.3_132.8_80_950', tensor(74.0036))
('201526_15112300_15.8_132.0_80_950', tensor(77.3254))
('201526_15112306_16.5_131.6_80_950', tensor(75.3074))
('201526_15112312_17.2_131.5_80_950', tensor(80.0960))
('201526_15112318_17.9_131.7_75_955', tensor(87.9574))
('201526_15112400_18.6_132.0_75_960', tensor(70.6216))
('201526_15112406_18.8_132.9_70_965', tensor(69.8446))
('201526_15112412_19.1_133.7_60_975', tensor(59.1119))
('201526_15112418_19.4_134.5_50_985', tensor(48.9369))
('201526_15112500_19.5_135.1_45_990', tensor(39.1627))
('201526_15112506_19.9_135.9_40_994', tensor(40.1618))
('201526_15112512_20.7_136.7_35_996', tensor(41.2025))
('201526_15112518_21.5_137.7_35_998', tensor(38.4351))
('201526_15112600_22.4_138.5_35_1002', tensor(38.0260))
('201526_15112606_23.5_139.8_35_1002', tensor(36.4125))
('201526_15112612_25.2_141.8_35_1002', tensor(37.0379))
('201526_15112618_26.8_144.5_35_1002', tensor(44.5271))
('201527_15121112_9.3_136.9_35_1002', tensor(50.6578))
('201527_15121118_9.8_135.7_40_1000', tensor(51.2265))
('201527_15121200_10.2_134.5_40_1000', tensor(47.2491))
('201527_15121206_10.9_133.6_45_994', tensor(55.8453))
('201527_15121212_11.2_132.2_55_985', tensor(50.2753))
('201527_15121218_11.5_131.2_65_975', tensor(59.8431))
('201527_15121300_11.9_130.3_70_970', tensor(71.9672))
('201527_15121306_12.3_129.1_80_955', tensor(69.5578))
('201527_15121312_12.4_128.1_85_950', tensor(64.2641))
('201527_15121318_12.5_126.9_85_950', tensor(61.7834))
('201527_15121400_12.5_125.8_95_935', tensor(78.0322))
('201527_15121406_12.6_124.6_95_935', tensor(87.3233))
('201527_15121412_12.8_123.5_80_955', tensor(71.0181))
('201527_15121418_12.9_122.6_80_955', tensor(51.1420))
('201527_15121500_13.0_121.8_85_950', tensor(50.6099))
('201527_15121506_13.2_121.2_85_950', tensor(57.8432))
('201527_15121512_13.4_120.6_80_955', tensor(49.3706))
('201527_15121518_13.7_120.1_70_970', tensor(50.5532))
('201527_15121600_14.1_120.1_65_975', tensor(55.8892))
('201527_15121606_14.1_120.3_50_990', tensor(51.2953))
('201527_15121612_13.7_120.3_45_996', tensor(42.9408))
('201527_15121618_13.1_120.3_35_1000', tensor(44.2912))
('201601_16070306_9.2_144.8_35_1002', tensor(55.4091))
('201601_16070312_10.0_144.4_35_1000', tensor(58.1302))
('201601_16070318_10.9_143.9_40_996', tensor(55.8390))
('201601_16070400_11.9_142.6_40_996', tensor(47.8724))
('201601_16070406_12.8_141.1_45_994', tensor(49.8131))
('201601_16070412_13.5_139.6_50_990', tensor(65.6323))
('201601_16070418_14.5_138.2_60_980', tensor(60.1362))
('201601_16070500_15.3_136.6_65_965', tensor(77.3565))
('201601_16070506_16.3_135.1_75_955', tensor(72.7306))
('201601_16070512_17.1_133.5_85_940', tensor(73.6188))
('201601_16070518_18.0_131.9_95_925', tensor(76.9932))
('201601_16070600_18.7_130.1_100_915', tensor(84.8080))
('201601_16070606_19.5_128.4_110_900', tensor(76.4164))
('201601_16070612_20.1_127.0_110_900', tensor(78.6356))
('201601_16070618_20.7_125.6_110_900', tensor(72.2352))
('201601_16070700_21.3_124.3_110_900', tensor(85.0858))
('201601_16070706_21.6_123.4_110_900', tensor(104.3001))
('201601_16070712_22.0_122.6_110_900', tensor(105.6319))
('201601_16070718_22.4_121.7_90_920', tensor(80.7832))
('201601_16070800_22.6_120.6_75_950', tensor(74.9953))
('201601_16070806_23.2_120.1_65_975', tensor(79.8725))
('201601_16070812_23.2_119.9_50_985', tensor(61.0477))
('201601_16070818_23.4_119.8_45_985', tensor(53.9752))
('201601_16070900_24.3_118.8_35_992', tensor(45.2304))
('201602_16072400_31.0_158.5_40_1000', tensor(54.9655))
('201602_16072406_33.0_159.3_40_1000', tensor(47.3266))
('201602_16072412_35.0_159.5_40_1000', tensor(41.1546))
('201603_16072612_18.5_110.8_40_996', tensor(41.0324))
('201603_16072618_18.9_109.7_40_996', tensor(35.6972))
('201603_16072700_19.7_108.6_35_998', tensor(30.4948))
('201603_16072706_19.8_107.3_45_990', tensor(36.2957))
('201603_16072712_19.9_106.7_55_980', tensor(42.4877))
('201603_16072718_20.2_106.2_45_985', tensor(47.4672))
('201603_16072800_20.6_105.6_35_996', tensor(47.6426))
('201604_16073012_16.4_124.4_40_994', tensor(66.4412))
('201604_16073018_16.9_123.8_45_990', tensor(69.5822))
('201604_16073100_17.5_123.1_50_985', tensor(86.7228))
('201604_16073106_18.2_122.3_60_975', tensor(77.8420))
('201604_16073112_18.8_121.2_60_975', tensor(68.7900))
('201604_16073118_19.5_120.1_55_980', tensor(72.5742))
('201604_16080100_20.1_118.9_55_980', tensor(55.6061))
('201604_16080106_21.4_117.5_55_980', tensor(74.5502))
('201604_16080112_21.9_116.0_55_980', tensor(78.1654))
('201604_16080118_22.5_114.8_50_980', tensor(68.5513))
('201604_16080200_22.8_113.5_45_985', tensor(73.5896))
('201604_16080206_23.4_112.0_35_990', tensor(71.0188))
('201605_16080406_18.8_148.5_35_998', tensor(35.9631))
('201605_16080412_19.2_148.5_35_998', tensor(44.3924))
('201605_16080418_19.8_148.4_35_996', tensor(37.1323))
('201605_16080500_20.7_148.1_40_992', tensor(52.3340))
('201605_16080506_21.7_147.9_45_990', tensor(63.3330))
('201605_16080512_22.5_147.8_50_985', tensor(49.9134))
('201605_16080518_23.3_147.8_55_980', tensor(68.8209))
('201605_16080600_24.2_147.8_55_980', tensor(75.6892))
('201605_16080606_24.9_147.7_60_975', tensor(51.1111))
('201605_16080612_26.1_147.7_60_975', tensor(40.0012))
('201605_16080618_27.3_147.5_60_975', tensor(42.9670))
('201605_16080700_28.6_147.3_60_975', tensor(43.1306))
('201605_16080706_30.0_146.9_60_975', tensor(31.5041))
('201605_16080712_31.3_146.3_55_980', tensor(46.3977))
('201605_16080718_32.5_145.3_55_980', tensor(41.1327))
('201605_16080800_33.5_144.5_55_980', tensor(40.7578))
('201605_16080806_34.5_144.3_50_980', tensor(43.2167))
('201605_16080812_35.7_144.5_50_980', tensor(40.0782))
('201605_16080818_36.8_145.1_50_980', tensor(34.4151))
('201605_16080900_37.9_145.9_50_980', tensor(38.5962))
('201605_16080906_40.2_147.4_50_980', tensor(29.6191))
('201605_16080912_42.0_148.8_45_985', tensor(44.0336))
('201606_16080906_16.8_158.7_40_996', tensor(27.1640))
('201606_16080912_17.0_157.8_45_990', tensor(33.6087))
('201606_16080918_17.7_156.9_45_990', tensor(34.6138))
('201606_16081000_18.0_156.0_45_990', tensor(38.1976))
('201606_16081006_18.6_155.1_45_990', tensor(46.9776))
('201606_16081012_18.9_154.4_45_990', tensor(37.5638))
('201606_16081018_19.6_154.0_45_990', tensor(34.5393))
('201606_16081100_20.0_153.6_45_990', tensor(36.3671))
('201606_16081106_20.5_154.0_45_990', tensor(38.7648))
('201606_16081112_21.9_154.3_45_990', tensor(32.9501))
('201606_16081118_23.5_155.0_45_990', tensor(53.5342))
('201606_16081200_25.2_155.5_45_990', tensor(47.6822))
('201606_16081206_26.2_155.7_40_990', tensor(41.2998))
('201606_16081212_28.0_156.4_40_990', tensor(40.0672))
('201606_16081218_28.9_156.6_40_990', tensor(43.2502))
('201606_16081300_29.9_155.5_40_990', tensor(50.1231))
('201606_16081306_31.6_154.3_45_985', tensor(47.5597))
('201606_16081312_32.6_153.1_45_985', tensor(36.3387))
('201606_16081318_33.9_152.2_45_985', tensor(30.0949))
('201606_16081400_35.7_151.1_45_985', tensor(37.1845))
('201606_16081406_38.1_149.5_45_985', tensor(40.5189))
('201606_16081412_40.2_148.0_40_990', tensor(33.5435))
('201606_16081418_42.1_145.9_40_990', tensor(24.9933))
('201607_16081400_22.0_143.6_35_994', tensor(69.6755))
('201607_16081406_23.4_144.2_40_992', tensor(82.8938))
('201607_16081412_24.6_144.5_45_990', tensor(77.2109))
('201607_16081418_25.7_144.8_50_985', tensor(74.6777))
('201607_16081500_27.1_145.0_50_985', tensor(60.0436))
('201607_16081506_28.1_144.5_50_985', tensor(45.1747))
('201607_16081512_29.4_143.8_45_985', tensor(40.4756))
('201607_16081518_30.5_143.0_45_985', tensor(37.8116))
('201607_16081600_31.6_142.5_50_980', tensor(39.1850))
('201607_16081606_33.4_141.4_50_980', tensor(30.0928))
('201607_16081612_34.4_141.0_50_980', tensor(44.8457))
('201607_16081618_35.8_141.2_50_980', tensor(50.5323))
('201607_16081700_37.8_141.7_55_980', tensor(50.1229))
('201608_16081800_20.9_111.3_35_985', tensor(39.3564))
('201608_16081806_20.8_110.3_35_985', tensor(34.6159))
('201608_16081812_20.5_109.2_35_985', tensor(50.3136))
('201608_16081818_20.5_108.2_40_980', tensor(50.4473))
('201608_16081900_20.5_107.3_40_980', tensor(45.3510))
